1
2
3,1
4,2
5,1
6,5
7,6
8,1
9,8
10,5
11,6
12,7
13,11
14,1
15,5
16,7
17,8
18,6
19,15
20,14
21,9
22,11
23,9
24,19
25,19
26,19
27,9
28,13
29,15
30,4
31,30
32,24
33,18
34,11
35,14
36,24
37,29
38,20
39,5
40,2
41,39
42,31
43,3
44,32
45,43
46,32
47,46
48,26
49,37
50,31
51,48
52,2
53,34
54,14
55,21
56,27
57,53
58,46
59,16
60,41
61,21
62,46
63,55
64,63
65,56
66,28
67,26
68,39
69,34
70,21
71,35
72,6
73,31
74,18
75,65
76,70
77,53
78,27
79,78
80,32
81,15
82,21
83,53
84,8
85,36
86,74
87,42
88,32
89,84
90,41
91,5
92,75
93,18
94,2
95,13
96,75
97,70
98,24
99,97
100,96
101,47
102,52
103,10
104,49
105,26
106,91
107,96
108,5
109,95
110,77
111,8
112,63
113,80
114,75
115,40
116,24
117,40
118,48
119,96
120,6
121,34
122,109
123,15
124,10
125,124
126,73
127,92
128,51
129,19
130,26
131,53
132,99
133,84
134,114
135,124
136,68
137,58
138,99
139,135
140,5
141,133
142,87
143,98
144,104
145,138
146,139
147,143
148,88
149,4
150,58
151,87
152,143
153,29
154,20
155,104
156,25
157,94
158,155
159,107
160,52
161,57
162,74
163,55
164,32
165,69
166,108
167,141
168,37
169,128
170,106
171,84
172,88
173,78
174,125
175,174
