1
2
3,1
4,2
5,4
6,4
7,4
8,5
9,3
10,8
11,10
12,4
13,2
14,1
15,5
16,2
17,1
18,14
19,14
20,4
21,3
22,6
23,15
24,19
25,12
26,20
27,12
28,19
29,9
30,15
31,2
32,12
33,16
34,25
35,18
36,27
37,33
38,1
39,31
40,38
41,39
42,26
43,24
44,18
45,17
46,37
47,4
48,32
49,7
50,11
51,46
52,35
53,46
54,23
55,36
56,8
57,34
58,57
59,8
60,56
61,16
62,13
63,34
64,12
65,18
66,31
67,2
68,9
69,19
70,26
71,7
72,36
73,71
74,14
75,8
76,60
77,62
78,63
79,38
80,27
81,38
82,22
83,57
84,80
85,65
86,7
87,8
88,25
89,13
90,79
91,59
92,4
93,10
94,62
95,22
96,7
97,74
98,37
99,21
100,98
101,38
102,61
103,18
104,1
105,60
106,40
107,9
108,88
109,88
110,32
111,45
112,104
113,32
114,2
115,68
116,48
117,56
118,16
119,89
120,106
121,11
122,112
123,66
124,49
125,119
126,61
127,40
